Neighborhood,Shift,count,Month,Year,Day
1,0,1,1,2015,1
1,1,3,1,2015,1
1,2,2,1,2015,1
1,0,2,1,2015,2
1,1,2,1,2015,2
1,2,2,1,2015,2
1,1,6,1,2015,3
1,0,1,1,2015,4
1,2,1,1,2015,4
1,0,1,1,2015,5
1,1,4,1,2015,5
1,2,1,1,2015,5
1,0,3,1,2015,6
1,1,1,1,2015,6
1,0,1,1,2015,7
1,2,1,1,2015,7
1,1,1,1,2015,8
1,2,3,1,2015,8
1,2,3,1,2015,9
1,0,2,1,2015,10
1,1,4,1,2015,11
1,2,2,1,2015,11
1,0,1,1,2015,12
1,1,1,1,2015,12
1,2,1,1,2015,12
1,1,4,1,2015,13
1,2,1,1,2015,13
1,2,3,1,2015,14
1,0,2,1,2015,15
1,1,4,1,2015,15
1,2,1,1,2015,15
1,0,1,1,2015,16
1,1,2,1,2015,16
1,2,1,1,2015,16
1,1,3,1,2015,17
1,0,2,1,2015,18
1,1,2,1,2015,19
1,2,4,1,2015,19
1,2,1,1,2015,20
1,1,2,1,2015,21
1,2,4,1,2015,21
1,0,2,1,2015,22
1,1,3,1,2015,22
1,2,2,1,2015,22
1,0,3,1,2015,23
1,1,2,1,2015,23
1,2,3,1,2015,23
1,0,2,1,2015,24
1,1,2,1,2015,24
1,1,1,1,2015,25
1,2,2,1,2015,25
1,0,2,1,2015,26
1,1,2,1,2015,26
1,2,4,1,2015,26
1,1,4,1,2015,27
1,0,2,1,2015,28
1,1,1,1,2015,28
1,1,4,1,2015,29
1,1,1,1,2015,30
1,2,1,1,2015,30
1,1,2,1,2015,31
1,2,2,1,2015,31
1,0,2,2,2015,1
1,1,1,2,2015,1
1,2,3,2,2015,1
1,1,1,2,2015,2
1,2,2,2,2015,2
1,0,1,2,2015,3
1,2,1,2,2015,3
1,0,1,2,2015,4
1,1,4,2,2015,5
1,2,1,2,2015,5
1,0,2,2,2015,6
1,1,1,2,2015,6
1,2,2,2,2015,8
1,0,1,2,2015,9
1,1,1,2,2015,9
1,2,4,2,2015,9
1,0,1,2,2015,10
1,1,1,2,2015,10
1,2,4,2,2015,10
1,0,3,2,2015,11
1,1,1,2,2015,11
1,2,1,2,2015,11
1,1,1,2,2015,12
1,2,4,2,2015,12
1,0,1,2,2015,13
1,1,2,2,2015,13
1,2,1,2,2015,13
1,1,1,2,2015,14
1,0,1,2,2015,15
1,1,2,2,2015,16
1,2,4,2,2015,16
1,1,1,2,2015,17
1,1,1,2,2015,18
1,2,1,2,2015,18
1,1,2,2,2015,19
1,1,1,2,2015,20
1,2,1,2,2015,20
1,0,1,2,2015,21
1,1,2,2,2015,21
1,2,1,2,2015,21
1,1,1,2,2015,22
1,2,1,2,2015,22
1,0,1,2,2015,23
1,1,2,2,2015,23
1,2,2,2,2015,23
1,1,3,2,2015,24
1,2,1,2,2015,24
1,0,1,2,2015,25
1,1,2,2,2015,25
1,2,2,2,2015,25
1,0,4,2,2015,26
1,1,1,2,2015,26
1,2,2,2,2015,26
1,0,1,2,2015,27
1,2,4,2,2015,27
1,0,1,2,2015,28
1,1,2,3,2015,1
1,2,1,3,2015,1
1,0,2,3,2015,2
1,2,1,3,2015,2
1,0,1,3,2015,3
1,1,1,3,2015,3
1,1,2,3,2015,4
1,2,3,3,2015,4
1,2,1,3,2015,5
1,1,2,3,2015,7
1,2,1,3,2015,7
1,1,6,3,2015,8
1,2,1,3,2015,8
1,1,1,3,2015,9
1,2,4,3,2015,9
1,0,1,3,2015,10
1,2,3,3,2015,10
1,0,4,3,2015,11
1,1,1,3,2015,11
1,2,3,3,2015,11
1,0,1,3,2015,12
1,2,1,3,2015,12
1,1,2,3,2015,13
1,2,1,3,2015,13
1,1,2,3,2015,14
1,2,2,3,2015,14
1,0,1,3,2015,15
1,1,1,3,2015,15
1,2,2,3,2015,15
1,0,1,3,2015,16
1,1,1,3,2015,16
1,0,1,3,2015,17
1,2,3,3,2015,17
1,2,3,3,2015,18
1,1,1,3,2015,19
1,2,4,3,2015,19
1,0,2,3,2015,20
1,2,1,3,2015,20
1,0,2,3,2015,21
1,1,1,3,2015,21
1,2,2,3,2015,21
1,0,1,3,2015,22
1,1,1,3,2015,22
1,2,3,3,2015,22
1,0,2,3,2015,23
1,2,2,3,2015,23
1,0,1,3,2015,24
1,1,3,3,2015,24
1,1,1,3,2015,25
1,1,1,3,2015,26
1,2,4,3,2015,26
1,0,2,3,2015,27
1,1,2,3,2015,27
1,2,1,3,2015,27
1,0,1,3,2015,28
1,1,2,3,2015,28
1,2,1,3,2015,28
1,0,1,3,2015,29
1,1,2,3,2015,29
1,2,3,3,2015,29
1,0,1,3,2015,31
1,1,2,3,2015,31
1,2,2,3,2015,31
1,2,2,4,2015,1
1,1,2,4,2015,2
1,2,2,4,2015,2
1,0,1,4,2015,3
1,1,1,4,2015,3
1,2,3,4,2015,3
1,2,1,4,2015,4
1,0,1,4,2015,5
1,1,2,4,2015,5
1,2,2,4,2015,5
1,0,3,4,2015,6
1,1,2,4,2015,6
1,2,3,4,2015,6
1,0,5,4,2015,7
1,1,6,4,2015,7
1,0,1,4,2015,8
1,1,1,4,2015,8
1,2,5,4,2015,8
1,1,4,4,2015,9
1,1,2,4,2015,10
1,2,2,4,2015,10
1,2,2,4,2015,11
1,0,2,4,2015,12
1,1,1,4,2015,12
1,2,2,4,2015,12
1,0,3,4,2015,13
1,2,2,4,2015,13
1,1,2,4,2015,14
1,2,3,4,2015,14
1,0,1,4,2015,15
1,1,3,4,2015,15
1,2,2,4,2015,15
1,1,1,4,2015,16
1,2,6,4,2015,16
1,0,1,4,2015,17
1,1,1,4,2015,17
1,2,4,4,2015,17
1,0,1,4,2015,18
1,1,1,4,2015,18
1,2,1,4,2015,18
1,0,2,4,2015,19
1,1,6,4,2015,19
1,2,2,4,2015,19
1,1,4,4,2015,20
1,1,1,4,2015,21
1,2,1,4,2015,21
1,1,7,4,2015,22
1,2,3,4,2015,22
1,1,2,4,2015,23
1,2,2,4,2015,23
1,0,2,4,2015,24
1,2,4,4,2015,24
1,0,3,4,2015,25
1,1,2,4,2015,25
1,2,2,4,2015,25
1,0,1,4,2015,26
1,2,2,4,2015,26
1,0,2,4,2015,27
1,1,1,4,2015,27
1,2,2,4,2015,27
1,0,1,4,2015,28
1,1,2,4,2015,28
1,2,3,4,2015,28
1,0,1,4,2015,29
1,1,2,4,2015,29
1,2,2,4,2015,29
1,1,1,4,2015,30
1,2,2,4,2015,30
1,0,1,5,2015,1
1,1,3,5,2015,1
1,2,2,5,2015,1
1,1,2,5,2015,2
1,2,1,5,2015,2
1,0,2,5,2015,3
1,1,1,5,2015,3
1,2,1,5,2015,3
1,0,2,5,2015,4
1,1,2,5,2015,4
1,2,1,5,2015,4
1,1,3,5,2015,5
1,2,3,5,2015,5
1,1,3,5,2015,6
1,2,3,5,2015,6
1,1,2,5,2015,7
1,2,2,5,2015,7
1,0,1,5,2015,8
1,1,2,5,2015,8
1,2,1,5,2015,8
1,0,1,5,2015,9
1,1,1,5,2015,9
1,2,1,5,2015,9
1,1,1,5,2015,10
1,2,1,5,2015,10
1,0,1,5,2015,11
1,1,1,5,2015,11
1,0,2,5,2015,12
1,2,3,5,2015,12
1,1,3,5,2015,13
1,2,4,5,2015,13
1,0,1,5,2015,14
1,1,2,5,2015,14
1,2,2,5,2015,14
1,0,1,5,2015,15
1,1,1,5,2015,15
1,2,2,5,2015,15
1,0,2,5,2015,16
1,1,1,5,2015,16
1,0,3,5,2015,17
1,1,1,5,2015,17
1,2,1,5,2015,17
1,0,1,5,2015,18
1,2,1,5,2015,18
1,2,3,5,2015,19
1,2,5,5,2015,20
1,1,1,5,2015,21
1,2,1,5,2015,21
1,0,1,5,2015,22
1,1,1,5,2015,22
1,0,2,5,2015,23
1,1,2,5,2015,23
1,2,1,5,2015,23
1,0,1,5,2015,24
1,1,1,5,2015,24
1,2,3,5,2015,24
1,0,1,5,2015,25
1,2,1,5,2015,25
1,1,2,5,2015,26
1,2,3,5,2015,26
1,2,2,5,2015,27
1,0,1,5,2015,28
1,1,3,5,2015,28
1,2,2,5,2015,28
1,1,2,5,2015,29
1,2,2,5,2015,29
1,0,1,5,2015,30
1,1,1,5,2015,30
1,2,1,5,2015,30
1,0,2,5,2015,31
1,0,1,6,2015,1
1,1,4,6,2015,1
1,0,1,6,2015,2
1,1,5,6,2015,2
1,2,2,6,2015,2
1,1,1,6,2015,3
1,1,2,6,2015,4
1,2,1,6,2015,4
1,0,1,6,2015,5
1,1,3,6,2015,5
1,2,2,6,2015,5
1,1,3,6,2015,6
1,2,2,6,2015,6
1,0,4,6,2015,7
1,1,2,6,2015,7
1,2,2,6,2015,7
1,0,1,6,2015,8
1,1,2,6,2015,8
1,2,1,6,2015,8
1,0,2,6,2015,9
1,1,2,6,2015,9
1,2,1,6,2015,9
1,2,1,6,2015,10
1,2,1,6,2015,11
1,0,1,6,2015,12
1,1,2,6,2015,12
1,2,2,6,2015,13
1,1,1,6,2015,14
1,2,1,6,2015,14
1,0,1,6,2015,15
1,2,2,6,2015,15
